feature,gain,permutation_mean,permutation_std
Na2O,0.3288540840148926,0.0014705882352941124,0.002941176470588225
MgO,1.9197443723678589,0.0,0.0
Al2O3,0.6377333998680115,0.0,0.0
SiO2,1.5666486024856567,0.0,0.0
K2O,2.2131998538970947,0.20588235294117646,0.023252041618885142
CaO,2.534515619277954,0.0,0.0
TiO2,0.5583091378211975,0.0,0.0
Fe2O3,1.0068293809890747,0.017647058823529394,0.0036021907982105974
As2O3,0.1883019059896469,0.0,0.0
MnO,1.2448644638061523,0.016176470588235257,0.0029411764705882695
CuO,0.35272422432899475,0.0,0.0
ZnO,0.3995984196662903,0.0,0.0
PbO2,0.765696108341217,0.0,0.0
Rb2O,2.183927297592163,0.0,0.0
SrO,0.6771089434623718,0.010294117647058787,0.0036021907982105427
Y2O3,1.4473176002502441,0.025000000000000022,0.0036021907982105436
ZrO2,1.0442543029785156,0.0,0.0
P2O5,0.8633071184158325,0.0,0.0
