number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,0.7143211195518434,2025-12-26 20:42:39.593116,2025-12-26 20:42:39.689540,0 days 00:00:00.096424,0.662397808134481,0.6624074561769746,0.02358594058414266,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469887,0.8394633936788146,"[0.7514005602240896, 0.6775032820145602, 0.6580086580086579, 0.7169867947178872, 0.7677063027940221]",0.04185359009794263,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469887, 'min_child_weight': 7, 'gamma': 0.02358594058414266, 'random_state': 42}",COMPLETE
1,0.7422391209786168,2025-12-26 20:42:39.690079,2025-12-26 20:42:39.758651,0 days 00:00:00.068572,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.1696753360719655,10,5,50,5.472429642032189e-06,0.00052821153945323,0.6849356442713105,"[0.7490196078431373, 0.6819727891156463, 0.696081696081696, 0.7327053898482471, 0.8514161220043573]",0.05969761002534899,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1696753360719655, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032189e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,0.7458745837516293,2025-12-26 20:42:39.759209,2025-12-26 20:42:39.886365,0 days 00:00:00.127156,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174766,"[0.7857142857142857, 0.7155985201097982, 0.7065759637188209, 0.7209550486861411, 0.8005291005291005]",0.039131375776119914,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174766, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,0.6792207379277997,2025-12-26 20:42:39.887048,2025-12-26 20:42:40.027728,0 days 00:00:00.140680,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[0.75, 0.5794871794871794, 0.6447070056092612, 0.6873416033079899, 0.7345679012345678]",0.062091772849386086,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,0.684060175740848,2025-12-26 20:42:40.028284,2025-12-26 20:42:40.133510,0 days 00:00:00.105226,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[0.7873949579831933, 0.6482565053993625, 0.5515873015873015, 0.6873416033079899, 0.7457205104263928]",0.0816355401254966,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,0.6730528546701333,2025-12-26 20:42:40.134113,2025-12-26 20:42:40.315141,0 days 00:00:00.181028,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.2442046084491143,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[0.6796918767507003, 0.6421768707482993, 0.630952380952381, 0.6447368421052632, 0.7677063027940221]",0.050061811181582996,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2442046084491143, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,0.557989839810568,2025-12-26 20:42:40.315749,2025-12-26 20:42:40.404721,0 days 00:00:00.088972,0.8170784332632994,0.7123738038749523,7.6204817861585425,0.16755052359850306,3,1,90,1.8548894229694903e-07,0.16587190283399628,0.7427013306774357,"[0.5175070028011205, 0.543694400837258, 0.5365079365079365, 0.5714285714285714, 0.620811287477954]",0.03586593267100014,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850306, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399628, 'min_child_weight': 1, 'gamma': 7.6204817861585425, 'random_state': 42}",COMPLETE
7,0.7031595649597175,2025-12-26 20:42:40.405336,2025-12-26 20:42:40.575373,0 days 00:00:00.170037,0.8916028672163949,0.8827429375390469,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626989,4.638759594322625e-08,0.9261845713819337,"[0.7880952380952381, 0.6048506359065365, 0.6317896389324961, 0.7233560090702947, 0.7677063027940221]",0.0728650233835968,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390469, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626989, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,0.6612096943631663,2025-12-26 20:42:40.575991,2025-12-26 20:42:40.696725,0 days 00:00:00.120734,0.7300733288106988,0.7243929286862648,0.0001778010520878397,0.030816017044468066,7,9,140,0.03685153691188181,0.005470376807480385,0.6254233401144095,"[0.7065580618212197, 0.6808056555955716, 0.4780457637600494, 0.6401098901098902, 0.8005291005291005]",0.10568311149438316,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862648, 'colsample_bylevel': 0.7300733288106988, 'reg_alpha': 0.03685153691188181, 'reg_lambda': 0.005470376807480385, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,0.6927723376050074,2025-12-26 20:42:40.697410,2025-12-26 20:42:40.834687,0 days 00:00:00.137277,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[0.7823129251700679, 0.5753301320528211, 0.5879120879120878, 0.7506002400960384, 0.7677063027940221]",0.09139477652205331,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
10,0.5771511402538245,2025-12-26 20:42:40.835339,2025-12-26 20:42:40.953835,0 days 00:00:00.118496,0.9630659181130072,0.7859956251031079,1.290626345465208e-08,0.0431646733732235,4,10,110,4.3444691085504035,8.476957030644504e-06,0.7387403565626488,"[0.5340136054421769, 0.5616681455190772, 0.4965986394557823, 0.6684807256235828, 0.6249945852285033]",0.06199897388063451,"{'n_estimators': 110, 'max_depth': 4, 'learning_rate': 0.0431646733732235, 'subsample': 0.7387403565626488, 'colsample_bytree': 0.7859956251031079, 'colsample_bylevel': 0.9630659181130072, 'reg_alpha': 4.3444691085504035, 'reg_lambda': 8.476957030644504e-06, 'min_child_weight': 10, 'gamma': 1.290626345465208e-08, 'random_state': 42}",COMPLETE
11,0.7276325071939107,2025-12-26 20:42:40.954551,2025-12-26 20:42:41.035477,0 days 00:00:00.080926,0.6295347986856554,0.6271281071050484,3.6101822810432298e-06,0.025860369417427514,1,4,80,8.151733317141938e-06,0.011066586301486913,0.6382592081134415,"[0.7757936507936508, 0.6517006802721088, 0.6809881847475833, 0.7494331065759637, 0.7802469135802469]",0.051969939006694124,"{'n_estimators': 80, 'max_depth': 1, 'learning_rate': 0.025860369417427514, 'subsample': 0.6382592081134415, 'colsample_bytree': 0.6271281071050484, 'colsample_bylevel': 0.6295347986856554, 'reg_alpha': 8.151733317141938e-06, 'reg_lambda': 0.011066586301486913, 'min_child_weight': 4, 'gamma': 3.6101822810432298e-06, 'random_state': 42}",COMPLETE
12,0.7245508735808015,2025-12-26 20:42:41.036154,2025-12-26 20:42:41.121919,0 days 00:00:00.085765,0.6940931056230564,0.8069705365829205,0.008865465164105284,0.0772516566572528,10,4,50,0.0002145835553628811,9.20764964248226,0.7097939893129923,"[0.7873949579831933, 0.6870748299319728, 0.6311451706188549, 0.7494331065759637, 0.7677063027940221]",0.05754993436514431,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.0772516566572528, 'subsample': 0.7097939893129923, 'colsample_bytree': 0.8069705365829205, 'colsample_bylevel': 0.6940931056230564, 'reg_alpha': 0.0002145835553628811, 'reg_lambda': 9.20764964248226, 'min_child_weight': 4, 'gamma': 0.008865465164105284, 'random_state': 42}",COMPLETE
13,0.7087466097550132,2025-12-26 20:42:41.122532,2025-12-26 20:42:41.263915,0 days 00:00:00.141383,0.7544796462000545,0.7608962128900791,1.0404028559003062e-08,0.07256707204498775,6,5,120,8.419109507435412e-07,2.2291993404068912e-05,0.6966219731921359,"[0.6796918767507003, 0.6777044150993731, 0.6984126984126984, 0.6873949579831934, 0.8005291005291005]",0.04646397255659887,"{'n_estimators': 120, 'max_depth': 6, 'learning_rate': 0.07256707204498775, 'subsample': 0.6966219731921359, 'colsample_bytree': 0.7608962128900791, 'colsample_bylevel': 0.7544796462000545, 'reg_alpha': 8.419109507435412e-07, 'reg_lambda': 2.2291993404068912e-05, 'min_child_weight': 5, 'gamma': 1.0404028559003062e-08, 'random_state': 42}",COMPLETE
14,0.7298210167257787,2025-12-26 20:42:41.264514,2025-12-26 20:42:41.365182,0 days 00:00:00.100668,0.8313659465610048,0.6192099029960131,3.7518754236437128e-06,0.026099921758735295,4,8,80,8.841962465227954e-05,0.001000343902209401,0.7817512083579278,"[0.7757936507936508, 0.7487528344671202, 0.6010699826489301, 0.7557823129251701, 0.7677063027940221]",0.065050763843037,"{'n_estimators': 80, 'max_depth': 4, 'learning_rate': 0.026099921758735295, 'subsample': 0.7817512083579278, 'colsample_bytree': 0.6192099029960131, 'colsample_bylevel': 0.8313659465610048, 'reg_alpha': 8.841962465227954e-05, 'reg_lambda': 0.001000343902209401, 'min_child_weight': 8, 'gamma': 3.7518754236437128e-06, 'random_state': 42}",COMPLETE
