feature,gain,permutation_mean,permutation_std
Na2O,1.1436488628387451,0.014705882352941124,0.004650408323777012
MgO,5.776889801025391,0.0029411764705882027,0.011004874666982177
Al2O3,2.340923547744751,0.020588235294117595,0.005502437333491106
SiO2,6.412663459777832,0.013235294117647012,0.0055024373334910705
K2O,2.6871607303619385,0.044117647058823484,0.01470588235294119
CaO,2.5910377502441406,0.011764705882352922,0.009974014681066576
TiO2,3.390000581741333,0.05441176470588231,0.0036021907982105974
Fe2O3,3.7233328819274902,0.03676470588235292,0.006576670522058182
As2O3,2.213688850402832,-0.008823529411764697,0.007204381596421127
MnO,3.997793436050415,0.038235294117647034,0.021512851232834983
CuO,2.0545003414154053,0.0014705882352941124,0.0055024373334910705
ZnO,1.8833190202713013,0.014705882352941124,0.004650408323777012
PbO2,1.267438530921936,-0.007352941176470562,0.0
Rb2O,3.6326372623443604,0.04264705882352939,0.008574929257125453
SrO,3.632340669631958,0.05882352941176468,0.02711630722733201
Y2O3,7.790806293487549,0.013235294117647012,0.0055024373334910705
ZrO2,4.565438270568848,0.038235294117647034,0.020482923937035494
P2O5,4.45231819152832,0.05294117647058823,0.021512851232835
