number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,0.5847846528479483,2025-12-25 12:07:05.456324,2025-12-25 12:07:05.568215,0 days 00:00:00.111891,0.662397808134481,0.6624074561769746,0.02358594058414266,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469887,0.8394633936788146,"[0.7462406015037594, 0.49626662053562637, 0.5514855514855515, 0.5047619047619047, 0.6251685859528997]",0.09278663461577204,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469887, 'min_child_weight': 7, 'gamma': 0.02358594058414266, 'random_state': 42}",COMPLETE
1,0.5323945184611556,2025-12-25 12:07:05.568909,2025-12-25 12:07:05.630507,0 days 00:00:00.061598,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.1696753360719655,10,5,50,5.472429642032189e-06,0.00052821153945323,0.6849356442713105,"[0.7411385606874329, 0.35637860082304523, 0.4821924021270427, 0.5214579659024103, 0.5608050627658471]",0.12490212017490714,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1696753360719655, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032189e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,0.535412387177093,2025-12-25 12:07:05.631076,2025-12-25 12:07:05.777464,0 days 00:00:00.146388,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174766,"[0.7142857142857143, 0.4609053497942387, 0.47442680776014107, 0.5037037037037038, 0.5237403603416676]",0.09209547598591554,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174766, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,0.5525455184322942,2025-12-25 12:07:05.778074,2025-12-25 12:07:06.015248,0 days 00:00:00.237174,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[0.7914965986394558, 0.40302084746529193, 0.5456852006559608, 0.5257583375230434, 0.496766607877719]",0.12909775353868258,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,0.5764649062594908,2025-12-25 12:07:06.016566,2025-12-25 12:07:06.123759,0 days 00:00:00.107193,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[0.7914965986394558, 0.5073246772593177, 0.4916680027791139, 0.5037037037037038, 0.5881315489158626]",0.1128182768722199,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,0.5619499085684156,2025-12-25 12:07:06.124332,2025-12-25 12:07:06.278526,0 days 00:00:00.154194,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.2442046084491143,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[0.7142857142857143, 0.4749455337690632, 0.5080912156935549, 0.5542260208926876, 0.5582010582010581]",0.08215890707142767,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2442046084491143, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,0.5099254028596993,2025-12-25 12:07:06.279166,2025-12-25 12:07:06.354359,0 days 00:00:00.075193,0.8170784332632994,0.7123738038749523,7.6204817861585425,0.16755052359850306,3,1,90,1.8548894229694903e-07,0.16587190283399628,0.7427013306774357,"[0.5740822644847413, 0.6003898635477583, 0.37319223985890654, 0.40937005381449826, 0.5925925925925926]",0.09791947904813823,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850306, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399628, 'min_child_weight': 1, 'gamma': 7.6204817861585425, 'random_state': 42}",COMPLETE
7,0.5272096021349055,2025-12-25 12:07:06.354866,2025-12-25 12:07:06.496199,0 days 00:00:00.141333,0.8916028672163949,0.8827429375390469,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626989,4.638759594322625e-08,0.9261845713819337,"[0.6854741896758705, 0.4419753086419753, 0.46245524023301804, 0.4201576927067123, 0.6259855794169519]",0.1074453319994096,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390469, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626989, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,0.5034970082399932,2025-12-25 12:07:06.497605,2025-12-25 12:07:06.602375,0 days 00:00:00.104770,0.7300733288106988,0.7243929286862648,0.0001778010520878397,0.030816017044468066,7,9,140,0.03685153691188181,0.005470376807480385,0.6254233401144095,"[0.567876273316344, 0.4553791887125221, 0.41713019490797265, 0.5151737368111637, 0.5619256474519633]",0.05910920849286475,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862648, 'colsample_bylevel': 0.7300733288106988, 'reg_alpha': 0.03685153691188181, 'reg_lambda': 0.005470376807480385, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,0.546226121977756,2025-12-25 12:07:06.602943,2025-12-25 12:07:06.719318,0 days 00:00:00.116375,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[0.7514005602240896, 0.4406457739791073, 0.5355673133450911, 0.4941798941798941, 0.5093370681605977]",0.10716994197459868,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
