SiO2_bin_center,vinyl_bin_center,smoothed_interaction,sample_count_in_bin,region_label_id,region_type
10.21,0.0686,0.00036475,0,1,synergy
10.21,0.4018,0.00032292,0,1,synergy
10.21,0.735,0.00024715,0,1,synergy
10.21,1.0682,0.00015189,0,1,synergy
10.21,1.4014,5.527e-05,0,1,synergy
10.21,1.7346,-2.505e-05,0,3,antagonism
10.21,2.0678,-7.639e-05,0,3,antagonism
10.21,2.401,-9.451e-05,0,3,antagonism
10.21,2.7342,-8.414e-05,0,3,antagonism
10.21,3.0674,-5.682e-05,0,3,antagonism
10.21,3.4006,-2.617e-05,0,3,antagonism
10.21,3.7338,-3.35e-06,0,3,antagonism
10.21,4.067,5.5e-06,0,0,none
10.21,4.4002,-1.1e-06,0,3,antagonism
10.21,4.7334,-2.19e-05,0,3,antagonism
10.21,5.0666,-5.478e-05,0,3,antagonism
10.21,5.3998,-9.733e-05,0,3,antagonism
10.21,5.733,-0.00014573,0,3,antagonism
10.21,6.0662,-0.00019393,0,3,antagonism
10.21,6.3994,-0.00023385,1,3,antagonism
10.21,6.7326,-0.00025748,0,3,antagonism
10.21,7.0658,-0.00025949,0,3,antagonism
10.21,7.399,-0.00023949,0,3,antagonism
10.21,7.7322,-0.00020231,0,3,antagonism
10.21,8.0654,-0.00015629,0,3,antagonism
10.21,8.3986,-0.00011041,0,3,antagonism
10.21,8.7318,-7.147e-05,0,3,antagonism
10.21,9.065,-4.286e-05,0,3,antagonism
10.21,9.3982,-2.495e-05,0,3,antagonism
10.21,9.7314,-1.653e-05,0,3,antagonism
11.23,0.0686,0.00037744,0,1,synergy
11.23,0.4018,0.00033462,0,1,synergy
11.23,0.735,0.00025701,0,1,synergy
11.23,1.0682,0.00015929,0,1,synergy
11.23,1.4014,5.989e-05,0,1,synergy
11.23,1.7346,-2.324e-05,0,3,antagonism
11.23,2.0678,-7.712e-05,0,3,antagonism
11.23,2.401,-9.719e-05,0,3,antagonism
11.23,2.7342,-8.799e-05,0,3,antagonism
11.23,3.0674,-6.101e-05,0,3,antagonism
11.23,3.4006,-3.003e-05,0,3,antagonism
11.23,3.7338,-6.54e-06,0,3,antagonism
11.23,4.067,3.14e-06,0,0,none
11.23,4.4002,-2.54e-06,0,3,antagonism
11.23,4.7334,-2.225e-05,0,3,antagonism
11.23,5.0666,-5.379e-05,0,3,antagonism
11.23,5.3998,-9.49e-05,0,3,antagonism
11.23,5.733,-0.00014217,0,3,antagonism
11.23,6.0662,-0.00018998,0,3,antagonism
11.23,6.3994,-0.00023051,0,3,antagonism
11.23,6.7326,-0.00025563,0,3,antagonism
11.23,7.0658,-0.00025952,0,3,antagonism
11.23,7.399,-0.00024126,0,3,antagonism
11.23,7.7322,-0.00020528,0,3,antagonism
11.23,8.0654,-0.00015983,0,3,antagonism
11.23,8.3986,-0.000114,0,3,antagonism
11.23,8.7318,-7.48e-05,0,3,antagonism
11.23,9.065,-4.581e-05,0,3,antagonism
11.23,9.3982,-2.756e-05,0,3,antagonism
11.23,9.7314,-1.895e-05,0,3,antagonism
12.25,0.0686,0.00039094,0,1,synergy
12.25,0.4018,0.00034763,0,1,synergy
12.25,0.735,0.00026905,0,1,synergy
12.25,1.0682,0.00016991,0,1,synergy
12.25,1.4014,6.856e-05,0,1,synergy
12.25,1.7346,-1.712e-05,0,3,antagonism
12.25,2.0678,-7.4e-05,0,3,antagonism
12.25,2.401,-9.719e-05,0,3,antagonism
12.25,2.7342,-9.068e-05,0,3,antagonism
12.25,3.0674,-6.553e-05,0,3,antagonism
12.25,3.4006,-3.541e-05,0,3,antagonism
12.25,3.7338,-1.195e-05,0,3,antagonism
12.25,4.067,-1.74e-06,0,3,antagonism
12.25,4.4002,-6.37e-06,0,3,antagonism
12.25,4.7334,-2.442e-05,0,3,antagonism
12.25,5.0666,-5.368e-05,0,3,antagonism
12.25,5.3998,-9.216e-05,0,3,antagonism
12.25,5.733,-0.00013715,0,3,antagonism
12.25,6.0662,-0.00018384,0,3,antagonism
12.25,6.3994,-0.00022491,0,3,antagonism
12.25,6.7326,-0.00025209,0,3,antagonism
12.25,7.0658,-0.00025889,0,3,antagonism
12.25,7.399,-0.00024351,1,3,antagonism
12.25,7.7322,-0.00020977,0,3,antagonism
12.25,8.0654,-0.00016565,0,3,antagonism
12.25,8.3986,-0.00012034,0,3,antagonism
12.25,8.7318,-8.109e-05,0,3,antagonism
12.25,9.065,-5.173e-05,0,3,antagonism
12.25,9.3982,-3.305e-05,0,3,antagonism
12.25,9.7314,-2.415e-05,0,3,antagonism
13.27,0.0686,0.00038888,0,1,synergy
13.27,0.4018,0.00034755,1,1,synergy
13.27,0.735,0.00027253,0,1,synergy
13.27,1.0682,0.00017765,0,1,synergy
13.27,1.4014,8.003e-05,0,1,synergy
13.27,1.7346,-3.67e-06,0,3,antagonism
13.27,2.0678,-6.113e-05,1,3,antagonism
13.27,2.401,-8.731e-05,0,3,antagonism
13.27,2.7342,-8.531e-05,0,3,antagonism
13.27,3.0674,-6.492e-05,0,3,antagonism
13.27,3.4006,-3.874e-05,1,3,antagonism
13.27,3.7338,-1.792e-05,0,3,antagonism
13.27,4.067,-8.96e-06,0,3,antagonism
13.27,4.4002,-1.353e-05,0,3,antagonism
13.27,4.7334,-3.02e-05,0,3,antagonism
13.27,5.0666,-5.684e-05,0,3,antagonism
13.27,5.3998,-9.188e-05,0,3,antagonism
13.27,5.733,-0.00013344,0,3,antagonism
13.27,6.0662,-0.00017773,0,3,antagonism
13.27,6.3994,-0.00021819,0,3,antagonism
13.27,6.7326,-0.00024664,0,3,antagonism
13.27,7.0658,-0.00025609,0,3,antagonism
