feature,gain,permutation_mean,permutation_std
Na2O,0.9065970182418823,0.002877697841726601,0.0035244456730692993
MgO,0.823661744594574,0.0,0.0
Al2O3,2.413627862930298,0.04028776978417266,0.00733671872459392
SiO2,1.9029616117477417,0.0,0.0
K2O,3.1242380142211914,0.08201438848920864,0.014813856317966898
CaO,0.6063300967216492,0.0,0.0
TiO2,0.620760977268219,0.0,0.0
Fe2O3,1.8709453344345093,0.0,0.0
As2O3,0.25261369347572327,0.0,0.0
MnO,1.3282160758972168,0.004316546762589901,0.0035244456730692993
CuO,0.936328649520874,0.021582733812949617,0.0
ZnO,0.964637279510498,0.0,0.0
PbO2,0.9750659465789795,0.0,0.0
Rb2O,1.736168384552002,0.007194244604316546,0.00643472799280516
SrO,1.1309106349945068,0.0,0.0
Y2O3,2.5802419185638428,0.007194244604316525,0.00455003979880343
ZrO2,1.9318982362747192,0.017266187050359715,0.007336718724593955
P2O5,0.6170333027839661,0.0,0.0
