number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,0.8751075038711138,2025-12-26 00:47:24.165413,2025-12-26 00:47:24.259276,0 days 00:00:00.093863,0.662397808134481,0.6624074561769746,0.02358594058414266,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469887,0.8394633936788146,"[1.0, 0.8571428571428571, 0.8522902494331065, 0.8916149068322982, 0.7744895059473065]",0.07326386159653597,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469887, 'min_child_weight': 7, 'gamma': 0.02358594058414266, 'random_state': 42}",COMPLETE
1,0.8825792370342492,2025-12-26 00:47:24.259802,2025-12-26 00:47:24.314289,0 days 00:00:00.054487,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.1696753360719655,10,5,50,5.472429642032189e-06,0.00052821153945323,0.6849356442713105,"[0.9654934437543135, 0.8920515574650913, 0.8522902494331065, 0.9285714285714286, 0.7744895059473065]",0.06584919885481443,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1696753360719655, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032189e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,0.8987400809450499,2025-12-26 00:47:24.314979,2025-12-26 00:47:24.408930,0 days 00:00:00.093951,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174766,"[1.0, 0.8926353149955634, 0.8548665620094191, 0.8575396825396826, 0.8886588451805842]",0.05294304332281615,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174766, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,0.87707455397618,2025-12-26 00:47:24.409431,2025-12-26 00:47:24.520081,0 days 00:00:00.110650,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[0.892512077294686, 0.8543917567026812, 0.8922704081632654, 0.8575396825396826, 0.8886588451805842]",0.017317894835020456,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,0.8683786078533977,2025-12-26 00:47:24.520640,2025-12-26 00:47:24.608835,0 days 00:00:00.088195,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[0.9280045351473923, 0.8922902494331065, 0.8115842490842491, 0.8575396825396826, 0.8524743230625583]",0.039301515424645855,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,0.8977079450137543,2025-12-26 00:47:24.609350,2025-12-26 00:47:24.735386,0 days 00:00:00.126036,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.2442046084491143,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[1.0, 0.8559757236227823, 0.8522902494331065, 0.8916149068322982, 0.8886588451805842]",0.053641441459867524,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2442046084491143, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,0.8318901674382128,2025-12-26 00:47:24.736004,2025-12-26 00:47:24.806961,0 days 00:00:00.070957,0.8170784332632994,0.7123738038749523,7.6204817861585425,0.16755052359850306,3,1,90,1.8548894229694903e-07,0.16587190283399628,0.7427013306774357,"[0.8843537414965985, 0.7135546526302827, 0.8153439153439154, 0.8575396825396826, 0.8886588451805842]",0.06466850782840648,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850306, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399628, 'min_child_weight': 1, 'gamma': 7.6204817861585425, 'random_state': 42}",COMPLETE
7,0.8554705209471377,2025-12-26 00:47:24.807558,2025-12-26 00:47:24.934299,0 days 00:00:00.126741,0.8916028672163949,0.8827429375390469,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626989,4.638759594322625e-08,0.9261845713819337,"[0.8924489795918368, 0.7838385354141656, 0.8548665620094191, 0.8575396825396826, 0.8886588451805842]",0.03899912516109184,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390469, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626989, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,0.7927548026462592,2025-12-26 00:47:24.934916,2025-12-26 00:47:25.029169,0 days 00:00:00.094253,0.7300733288106988,0.7243929286862648,0.0001778010520878397,0.030816017044468066,7,9,140,0.03685153691188181,0.005470376807480385,0.6254233401144095,"[0.8843537414965985, 0.7813852813852814, 0.819042894935752, 0.8541666666666667, 0.6248254287469974]",0.09075504070749128,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862648, 'colsample_bylevel': 0.7300733288106988, 'reg_alpha': 0.03685153691188181, 'reg_lambda': 0.005470376807480385, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,0.8916916093825119,2025-12-26 00:47:25.029760,2025-12-26 00:47:25.119158,0 days 00:00:00.089398,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[1.0, 0.8573929571828732, 0.8548665620094191, 0.8575396825396826, 0.8886588451805842]",0.05556751011279009,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
