number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,0.9189599486518254,2025-12-26 01:31:45.341273,2025-12-26 01:31:45.417799,0 days 00:00:00.076526,0.662397808134481,0.6624074561769746,0.02358594058414266,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469887,0.8394633936788146,"[0.9306389222355609, 0.8526658526658527, 1.0, 0.8114949683577135, 1.0]",0.07643952828374906,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469887, 'min_child_weight': 7, 'gamma': 0.02358594058414266, 'random_state': 42}",COMPLETE
1,0.902715312145751,2025-12-26 01:31:45.418471,2025-12-26 01:31:45.476408,0 days 00:00:00.057937,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.1696753360719655,10,5,50,5.472429642032189e-06,0.00052821153945323,0.6849356442713105,"[0.9306389222355609, 0.8491927825261159, 1.0, 0.7707818930041151, 0.9629629629629629]",0.08263765023719682,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1696753360719655, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032189e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,0.8893847258501542,2025-12-26 01:31:45.477162,2025-12-26 01:31:45.579347,0 days 00:00:00.102185,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174766,"[0.8966939407341884, 0.8491927825261159, 0.9261334163294948, 0.8492374727668845, 0.925666016894087]",0.03448888862308189,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174766, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,0.8980807915758897,2025-12-26 01:31:45.580181,2025-12-26 01:31:45.720605,0 days 00:00:00.140424,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[0.8633928571428572, 0.8890299823633157, 0.9261334163294948, 0.8492374727668845, 0.9626102292768961]",0.04152550498304755,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,0.8893123758275239,2025-12-26 01:31:45.721330,2025-12-26 01:31:45.833267,0 days 00:00:00.111937,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[0.896001163623344, 0.8890299823633157, 0.9628177196804648, 0.8114949683577135, 0.8872180451127818]",0.04797455644328655,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,0.8825632067525199,2025-12-26 01:31:45.835362,2025-12-26 01:31:46.009458,0 days 00:00:00.174096,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.2442046084491143,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[0.8966939407341884, 0.8138500731093323, 0.9631704533665318, 0.84880174291939, 0.890299823633157]",0.05023622650146579,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2442046084491143, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,0.8751219554576334,2025-12-26 01:31:46.010131,2025-12-26 01:31:46.091596,0 days 00:00:00.081465,0.8170784332632994,0.7123738038749523,7.6204817861585425,0.16755052359850306,3,1,90,1.8548894229694903e-07,0.16587190283399628,0.7427013306774357,"[0.8633928571428572, 0.8527336860670195, 0.9261334163294948, 0.8093478937468708, 0.9240019240019239]",0.04462388152702065,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850306, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399628, 'min_child_weight': 1, 'gamma': 7.6204817861585425, 'random_state': 42}",COMPLETE
7,0.9042038638067312,2025-12-26 01:31:46.092254,2025-12-26 01:31:46.236366,0 days 00:00:00.144112,0.8916028672163949,0.8827429375390469,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626989,4.638759594322625e-08,0.9261845713819337,"[0.896001163623344, 0.923721340388007, 0.9261334163294948, 0.8492374727668845, 0.9259259259259259]",0.02973978339834816,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390469, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626989, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,0.867408872114181,2025-12-26 01:31:46.237214,2025-12-26 01:31:46.349423,0 days 00:00:00.112209,0.7300733288106988,0.7243929286862648,0.0001778010520878397,0.030816017044468066,7,9,140,0.03685153691188181,0.005470376807480385,0.6254233401144095,"[0.8615079365079364, 0.8138500731093323, 0.9628177196804648, 0.7732026143790849, 0.925666016894087]",0.06967772685751952,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862648, 'colsample_bylevel': 0.7300733288106988, 'reg_alpha': 0.03685153691188181, 'reg_lambda': 0.005470376807480385, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,0.9172362657313637,2025-12-26 01:31:46.350991,2025-12-26 01:31:46.458858,0 days 00:00:00.107867,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[0.9280753968253969, 0.8827350427350427, 0.9261334163294948, 0.8492374727668845, 1.0]",0.05071617492397642,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
