number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,-0.4035031138905013,2025-12-08 19:39:50.769923,2025-12-08 19:39:50.868246,0 days 00:00:00.098323,0.662397808134481,0.6624074561769746,0.02358594058414266,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469887,0.8394633936788146,"[-0.42550792555038575, -0.41192839266285813, -0.38133094022615266, -0.4106572122941228, -0.38809109871898734]",0.016343278001653305,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469887, 'min_child_weight': 7, 'gamma': 0.02358594058414266, 'random_state': 42}",COMPLETE
1,-0.4119789428107876,2025-12-08 19:39:50.868696,2025-12-08 19:39:50.923651,0 days 00:00:00.054955,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.1696753360719655,10,5,50,5.472429642032189e-06,0.00052821153945323,0.6849356442713105,"[-0.441581967619737, -0.422078639459533, -0.3895481055727868, -0.41046799040721155, -0.3962180109946698]",0.018612766362428895,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1696753360719655, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032189e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,-0.5358632215282197,2025-12-08 19:39:50.924110,2025-12-08 19:39:50.960242,0 days 00:00:00.036132,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174766,"[-0.5518823347200668, -0.5309941997182827, -0.5424044574998154, -0.5440974957301551, -0.5099376199727793]",0.01458113312825214,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174766, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,-0.5972285323281527,2025-12-08 19:39:50.960645,2025-12-08 19:39:50.993603,0 days 00:00:00.032958,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[-0.6267968449205625, -0.5813366028994467, -0.5971985347463699, -0.6080241393615754, -0.5727865397128084]",0.01918747281229595,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,-0.6418139258473259,2025-12-08 19:39:50.994012,2025-12-08 19:39:51.029435,0 days 00:00:00.035423,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[-0.6787847361743489, -0.6164817399575789, -0.6352676172395808, -0.6588595777368367, -0.6196759581282842]",0.023799405360827627,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,-0.29861664341336625,2025-12-08 19:39:51.029899,2025-12-08 19:39:51.204622,0 days 00:00:00.174723,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.2442046084491143,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[-0.3128667966387401, -0.29905830180145754, -0.28644206891247725, -0.3121553643778005, -0.28256068533635603]",0.0125902577295274,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2442046084491143, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,-0.4980786454261009,2025-12-08 19:39:51.205049,2025-12-08 19:39:51.236408,0 days 00:00:00.031359,0.8170784332632994,0.7123738038749523,7.6204817861585425,0.16755052359850306,3,1,90,1.8548894229694903e-07,0.16587190283399628,0.7427013306774357,"[-0.5322438275912406, -0.5055770582205928, -0.4955218012711071, -0.4968228609396584, -0.46022767910790574]",0.02308374304459412,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850306, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399628, 'min_child_weight': 1, 'gamma': 7.6204817861585425, 'random_state': 42}",COMPLETE
7,-0.6007266603925953,2025-12-08 19:39:51.236839,2025-12-08 19:39:51.275785,0 days 00:00:00.038946,0.8916028672163949,0.8827429375390469,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626989,4.638759594322625e-08,0.9261845713819337,"[-0.6309759413906467, -0.583684731006487, -0.599858687354001, -0.6120827430485639, -0.5770311991632774]",0.019476320142445817,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390469, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626989, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,-0.43341163502700103,2025-12-08 19:39:51.276961,2025-12-08 19:39:51.369369,0 days 00:00:00.092408,0.7300733288106988,0.7243929286862648,0.0001778010520878397,0.030816017044468066,7,9,140,0.03685153691188181,0.005470376807480385,0.6254233401144095,"[-0.45223030736527553, -0.4408046856396264, -0.4216427159158109, -0.4449061400315384, -0.40747432618275387]",0.016444906313890097,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862648, 'colsample_bylevel': 0.7300733288106988, 'reg_alpha': 0.03685153691188181, 'reg_lambda': 0.005470376807480385, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,-0.2936352494989999,2025-12-08 19:39:51.369801,2025-12-08 19:39:51.456106,0 days 00:00:00.086305,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[-0.3198531453914491, -0.2951582495373281, -0.28545775219296754, -0.29264340760959656, -0.2750636927636583]",0.014848942900030339,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
10,-0.32473624138770724,2025-12-08 19:39:51.456552,2025-12-08 19:39:51.503184,0 days 00:00:00.046632,0.7570274592606949,0.9568478358759311,0.010367714070333529,0.07955798569352589,5,3,70,0.0009327366933736893,3.995152267446128e-06,0.855919277250694,"[-0.33585190919459335, -0.3312405600492892, -0.32269709904614174, -0.33008269985085403, -0.30380893879765786]",0.011283252592468667,"{'n_estimators': 70, 'max_depth': 5, 'learning_rate': 0.07955798569352589, 'subsample': 0.855919277250694, 'colsample_bytree': 0.9568478358759311, 'colsample_bylevel': 0.7570274592606949, 'reg_alpha': 0.0009327366933736893, 'reg_lambda': 3.995152267446128e-06, 'min_child_weight': 3, 'gamma': 0.010367714070333529, 'random_state': 42}",COMPLETE
11,-0.30328267937306175,2025-12-08 19:39:51.503602,2025-12-08 19:39:51.683990,0 days 00:00:00.180388,0.9760778024672048,0.8560191441870574,4.805653261658784e-06,0.2550205669623977,8,1,150,0.0005999583214511965,1.7912366914369137e-06,0.904093180089808,"[-0.3210215706651826, -0.30967336180229615, -0.2861140561233221, -0.3119487959116403, -0.28765561236286746]",0.013925354643080628,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2550205669623977, 'subsample': 0.904093180089808, 'colsample_bytree': 0.8560191441870574, 'colsample_bylevel': 0.9760778024672048, 'reg_alpha': 0.0005999583214511965, 'reg_lambda': 1.7912366914369137e-06, 'min_child_weight': 1, 'gamma': 4.805653261658784e-06, 'random_state': 42}",COMPLETE
12,-0.27113582555474774,2025-12-08 19:39:51.684441,2025-12-08 19:39:51.752581,0 days 00:00:00.068140,0.8062141176772979,0.9028503248702485,1.1415897581582742e-08,0.29283225933783363,8,2,80,2.1252063486601935,3.841105485827389e-06,0.7984165248678857,"[-0.2789161754847662, -0.27515234302878216, -0.2751436954996223, -0.27356556085098405, -0.252901352909584]",0.009285783600803897,"{'n_estimators': 80, 'max_depth': 8, 'learning_rate': 0.29283225933783363, 'subsample': 0.7984165248678857, 'colsample_bytree': 0.9028503248702485, 'colsample_bylevel': 0.8062141176772979, 'reg_alpha': 2.1252063486601935, 'reg_lambda': 3.841105485827389e-06, 'min_child_weight': 2, 'gamma': 1.1415897581582742e-08, 'random_state': 42}",COMPLETE
13,-0.33479253151009114,2025-12-08 19:39:51.753063,2025-12-08 19:39:51.807586,0 days 00:00:00.054523,0.8001086602508453,0.9191979476316068,1.0352630368012753e-08,0.08163321221267114,7,3,70,6.177198275729329,2.0189036707279082e-05,0.7867305142865646,"[-0.3526140887505243, -0.3355256706546857, -0.33262445421458087, -0.34360639858340614, -0.3095920453472584]",0.014391627498430253,"{'n_estimators': 70, 'max_depth': 7, 'learning_rate': 0.08163321221267114, 'subsample': 0.7867305142865646, 'colsample_bytree': 0.9191979476316068, 'colsample_bylevel': 0.8001086602508453, 'reg_alpha': 6.177198275729329, 'reg_lambda': 2.0189036707279082e-05, 'min_child_weight': 3, 'gamma': 1.0352630368012753e-08, 'random_state': 42}",COMPLETE
14,-0.31656416814712574,2025-12-08 19:39:51.808009,2025-12-08 19:39:51.861802,0 days 00:00:00.053793,0.7425884906674536,0.7889287846668807,5.024387530678765e-07,0.2827580032070467,9,3,80,8.60995139431829,3.174672559290829e-05,0.8266383754497381,"[-0.33126339401838306, -0.3147613123784241, -0.3132626255480463, -0.3245270906769284, -0.2990064181138467]",0.010971785954139524,"{'n_estimators': 80, 'max_depth': 9, 'learning_rate': 0.2827580032070467, 'subsample': 0.8266383754497381, 'colsample_bytree': 0.7889287846668807, 'colsample_bylevel': 0.7425884906674536, 'reg_alpha': 8.60995139431829, 'reg_lambda': 3.174672559290829e-05, 'min_child_weight': 3, 'gamma': 5.024387530678765e-07, 'random_state': 42}",COMPLETE
15,-0.4059882850851352,2025-12-08 19:39:51.862203,2025-12-08 19:39:51.908541,0 days 00:00:00.046338,0.6083654265933616,0.6018960478612356,1.2695361137933269e-08,0.1331003690300412,6,2,60,0.053665019891395174,0.01146690242205453,0.7545570407398018,"[-0.42202582253066956, -0.40602552739532294, -0.39651889290661324, -0.4175217277516487, -0.3878494548414215]",0.012719361972121507,"{'n_estimators': 60, 'max_depth': 6, 'learning_rate': 0.1331003690300412, 'subsample': 0.7545570407398018, 'colsample_bytree': 0.6018960478612356, 'colsample_bylevel': 0.6083654265933616, 'reg_alpha': 0.053665019891395174, 'reg_lambda': 0.01146690242205453, 'min_child_weight': 2, 'gamma': 1.2695361137933269e-08, 'random_state': 42}",COMPLETE
16,-0.32015419915525,2025-12-08 19:39:51.908970,2025-12-08 19:39:51.964836,0 days 00:00:00.055866,0.8462239536240762,0.9266199801530757,0.00443382389454351,0.07020614274333374,8,10,50,0.4609528194477771,3.084780175572217e-05,0.8679083694332411,"[-0.33502133604324325, -0.3239827735952151, -0.31546084032693206, -0.3298368257192704, -0.29646922009158927]",0.013508877444142831,"{'n_estimators': 50, 'max_depth': 8, 'learning_rate': 0.07020614274333374, 'subsample': 0.8679083694332411, 'colsample_bytree': 0.9266199801530757, 'colsample_bylevel': 0.8462239536240762, 'reg_alpha': 0.4609528194477771, 'reg_lambda': 3.084780175572217e-05, 'min_child_weight': 10, 'gamma': 0.00443382389454351, 'random_state': 42}",COMPLETE
