number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,-0.3652991286448772,2025-09-05 17:01:33.807831,2025-09-05 17:01:33.833608,0 days 00:00:00.025777,0.662397808134481,0.6624074561769746,0.02358594058414266,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469887,0.8394633936788146,"[-0.2649297013615311, -0.3107661544239189, -0.2945023300848216, -0.47968475484744005, -0.47661270250667426]",0.09331113235253538,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469887, 'min_child_weight': 7, 'gamma': 0.02358594058414266, 'random_state': 42}",COMPLETE
1,-0.37956154992520497,2025-09-05 17:01:33.833973,2025-09-05 17:01:33.851505,0 days 00:00:00.017532,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.1696753360719655,10,5,50,5.472429642032189e-06,0.00052821153945323,0.6849356442713105,"[-0.29395099733437685, -0.3512710756925535, -0.3214955647728097, -0.5736167496208876, -0.3574733622053972]",0.09964585776098289,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1696753360719655, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032189e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,-0.3529311381755231,2025-09-05 17:01:33.851907,2025-09-05 17:01:33.873454,0 days 00:00:00.021547,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174766,"[-0.32064672418329565, -0.35899028354533086, -0.3126731435396173, -0.33110575278745963, -0.441239786821912]",0.04684969078793899,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174766, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,-0.5102376410854325,2025-09-05 17:01:33.873813,2025-09-05 17:01:33.894942,0 days 00:00:00.021129,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[-0.4628433802928068, -0.49577650820452457, -0.5902369524449391, -0.44400236348840005, -0.5583290009964914]",0.055776556069239216,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,-0.647623225102173,2025-09-05 17:01:33.895319,2025-09-05 17:01:33.913502,0 days 00:00:00.018183,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[-0.5943934575831709, -0.5884205732216439, -0.7827240865986398, -0.46963818819104447, -0.802939819916366]",0.12680104329683856,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,-0.3112974983530572,2025-09-05 17:01:33.913911,2025-09-05 17:01:33.942496,0 days 00:00:00.028585,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.2442046084491143,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[-0.22559103030646216, -0.3953951253521726, -0.39627884282867126, -0.2643077936102472, -0.2749146996677329]",0.07095291231905937,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2442046084491143, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,-0.5314529104945125,2025-09-05 17:01:33.942863,2025-09-05 17:01:33.960293,0 days 00:00:00.017430,0.8170784332632994,0.7123738038749523,7.6204817861585425,0.16755052359850306,3,1,90,1.8548894229694903e-07,0.16587190283399628,0.7427013306774357,"[-0.35079759098599284, -0.5247093331047291, -0.6870820279330296, -0.3823876936289907, -0.7122879068198198]",0.1495486390928169,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850306, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399628, 'min_child_weight': 1, 'gamma': 7.6204817861585425, 'random_state': 42}",COMPLETE
7,-0.4716496953940922,2025-09-05 17:01:33.960659,2025-09-05 17:01:33.983995,0 days 00:00:00.023336,0.8916028672163949,0.8827429375390469,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626989,4.638759594322625e-08,0.9261845713819337,"[-0.41537189815541936, -0.4480922280027318, -0.5898591854029362, -0.30323032867937105, -0.6016948367300028]",0.11222517554430277,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390469, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626989, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,-0.43934011689260777,2025-09-05 17:01:33.984352,2025-09-05 17:01:34.008263,0 days 00:00:00.023911,0.7300733288106988,0.7243929286862648,0.0001778010520878397,0.030816017044468066,7,9,140,0.03685153691188181,0.005470376807480385,0.6254233401144095,"[-0.34352302324375344, -0.4999100321477881, -0.3621659041157939, -0.4814730484339834, -0.50962857652172]",0.07144388100370469,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862648, 'colsample_bylevel': 0.7300733288106988, 'reg_alpha': 0.03685153691188181, 'reg_lambda': 0.005470376807480385, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,-0.28170379344837426,2025-09-05 17:01:34.008620,2025-09-05 17:01:34.037495,0 days 00:00:00.028875,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[-0.25434079392621733, -0.3324411980519794, -0.3948194577334846, -0.2238495705428563, -0.20306794698733377]",0.07162245308849309,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
10,-0.26110179117907,2025-09-05 17:01:34.037938,2025-09-05 17:01:34.062208,0 days 00:00:00.024270,0.7570274592606949,0.9568478358759311,0.010367714070333529,0.07955798569352589,5,3,70,0.0009327366933736893,3.995152267446128e-06,0.855919277250694,"[-0.20108086031753072, -0.28184398726733684, -0.28849070911504004, -0.2107869654048226, -0.3233064337906201]",0.04729461474814364,"{'n_estimators': 70, 'max_depth': 5, 'learning_rate': 0.07955798569352589, 'subsample': 0.855919277250694, 'colsample_bytree': 0.9568478358759311, 'colsample_bylevel': 0.7570274592606949, 'reg_alpha': 0.0009327366933736893, 'reg_lambda': 3.995152267446128e-06, 'min_child_weight': 3, 'gamma': 0.010367714070333529, 'random_state': 42}",COMPLETE
11,-0.27039996924219684,2025-09-05 17:01:34.062578,2025-09-05 17:01:34.085577,0 days 00:00:00.022999,0.757298334171193,0.9586229109175456,0.024195841926916137,0.07578854864284995,5,3,70,0.0010132439259431904,4.491067917060822e-06,0.8562950519589575,"[-0.2178639189608718, -0.28091730670076315, -0.29994792477097376, -0.21290122673535872, -0.3403694690430167]",0.04887856162890732,"{'n_estimators': 70, 'max_depth': 5, 'learning_rate': 0.07578854864284995, 'subsample': 0.8562950519589575, 'colsample_bytree': 0.9586229109175456, 'colsample_bylevel': 0.757298334171193, 'reg_alpha': 0.0010132439259431904, 'reg_lambda': 4.491067917060822e-06, 'min_child_weight': 3, 'gamma': 0.024195841926916137, 'random_state': 42}",COMPLETE
12,-0.29013100854126117,2025-09-05 17:01:34.085931,2025-09-05 17:01:34.109516,0 days 00:00:00.023585,0.7392973228175623,0.9952647403542068,0.05407297735148758,0.06117316277256463,5,3,80,0.001678287739355917,1.2167282577786425e-05,0.8888336114830359,"[-0.24351329483575956, -0.29587491469412436, -0.3280481108600161, -0.2477603612600147, -0.33545836105639115]",0.038713695184868634,"{'n_estimators': 80, 'max_depth': 5, 'learning_rate': 0.06117316277256463, 'subsample': 0.8888336114830359, 'colsample_bytree': 0.9952647403542068, 'colsample_bylevel': 0.7392973228175623, 'reg_alpha': 0.001678287739355917, 'reg_lambda': 1.2167282577786425e-05, 'min_child_weight': 3, 'gamma': 0.05407297735148758, 'random_state': 42}",COMPLETE
13,-0.4422933745933236,2025-09-05 17:01:34.109870,2025-09-05 17:01:34.130189,0 days 00:00:00.020319,0.74941857920517,0.9324452852429903,0.01739851298397247,0.07269377550630604,4,4,70,2.996709216305251,2.301147924285307e-06,0.8825741602454161,"[-0.3264377285092183, -0.515595568883711, -0.4284272588501995, -0.3965352395850659, -0.5444710771384232]",0.07940037959604687,"{'n_estimators': 70, 'max_depth': 4, 'learning_rate': 0.07269377550630604, 'subsample': 0.8825741602454161, 'colsample_bytree': 0.9324452852429903, 'colsample_bylevel': 0.74941857920517, 'reg_alpha': 2.996709216305251, 'reg_lambda': 2.301147924285307e-06, 'min_child_weight': 4, 'gamma': 0.01739851298397247, 'random_state': 42}",COMPLETE
