number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,-0.2829175896964461,2025-09-05 21:15:03.621388,2025-09-05 21:15:03.660508,0 days 00:00:00.039120,0.662397808134481,0.6624074561769746,0.02358594058414266,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469887,0.8394633936788146,"[-0.1900926975876506, -0.3277522796021719, -0.2601484120806092, -0.37731641616086853, -0.25927814305093017]",0.06421060245601186,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469887, 'min_child_weight': 7, 'gamma': 0.02358594058414266, 'random_state': 42}",COMPLETE
1,-0.3491791485649771,2025-09-05 21:15:03.660922,2025-09-05 21:15:03.683968,0 days 00:00:00.023046,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.1696753360719655,10,5,50,5.472429642032189e-06,0.00052821153945323,0.6849356442713105,"[-0.1998057935642186, -0.4210397265256999, -0.42232244116673007, -0.4158507269934882, -0.2868770545747491]",0.09072258085766045,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1696753360719655, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032189e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,-0.2940719601727328,2025-09-05 21:15:03.684617,2025-09-05 21:15:03.706706,0 days 00:00:00.022089,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174766,"[-0.16173123471917406, -0.32033947723899503, -0.3638758649397811, -0.3595237218902577, -0.26488950207545603]",0.07511615559871886,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174766, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,-0.4713411608859329,2025-09-05 21:15:03.707070,2025-09-05 21:15:03.728639,0 days 00:00:00.021569,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[-0.3394969807618979, -0.4368266526262932, -0.6611534929268281, -0.4953259156267661, -0.42390276248787895]",0.10717138667605006,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,-0.6821335552359613,2025-09-05 21:15:03.729068,2025-09-05 21:15:03.747803,0 days 00:00:00.018735,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[-0.5447280675362037, -0.6249022022144064, -0.9360961307713473, -0.6561845460157413, -0.6487568296421077]",0.1329962724907215,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,-0.35742921772341923,2025-09-05 21:15:03.748198,2025-09-05 21:15:03.778591,0 days 00:00:00.030393,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.2442046084491143,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[-0.2751402902384894, -0.3218057274554141, -0.41988373377034094, -0.3904464108120221, -0.3798699263408298]",0.052028430041375466,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.2442046084491143, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,-0.5105712482208711,2025-09-05 21:15:03.778949,2025-09-05 21:15:03.796920,0 days 00:00:00.017971,0.8170784332632994,0.7123738038749523,7.6204817861585425,0.16755052359850306,3,1,90,1.8548894229694903e-07,0.16587190283399628,0.7427013306774357,"[-0.32959933685786674, -0.5333467331113089, -0.7055461477684244, -0.5590698437016028, -0.42529417966515276]",0.12720775059170922,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850306, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399628, 'min_child_weight': 1, 'gamma': 7.6204817861585425, 'random_state': 42}",COMPLETE
7,-0.4674516248424321,2025-09-05 21:15:03.797302,2025-09-05 21:15:03.821294,0 days 00:00:00.023992,0.8916028672163949,0.8827429375390469,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626989,4.638759594322625e-08,0.9261845713819337,"[-0.3297819939371299, -0.41808469211674937, -0.6851217682245999, -0.47809732045936765, -0.42617234947431337]",0.11881718903462,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390469, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626989, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,-0.38952106454930435,2025-09-05 21:15:03.821727,2025-09-05 21:15:03.846074,0 days 00:00:00.024347,0.7300733288106988,0.7243929286862648,0.0001778010520878397,0.030816017044468066,7,9,140,0.03685153691188181,0.005470376807480385,0.6254233401144095,"[-0.25413203316591226, -0.40552740030141604, -0.45592163133944835, -0.4515321185063142, -0.38049213943343113]",0.0733789072892232,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862648, 'colsample_bylevel': 0.7300733288106988, 'reg_alpha': 0.03685153691188181, 'reg_lambda': 0.005470376807480385, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,-0.30352592957008206,2025-09-05 21:15:03.846516,2025-09-05 21:15:03.875646,0 days 00:00:00.029130,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[-0.19489735587844156, -0.27156709235164933, -0.386426601239751, -0.33922033730852774, -0.3255182610720409]",0.06550085350681648,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
10,-0.5382168008716283,2025-09-05 21:15:03.876017,2025-09-05 21:15:03.898957,0 days 00:00:00.022940,0.6154900799844732,0.6061470949312417,0.044223173270844955,0.0749883856323417,10,10,80,4.3444691085504035,6.099006535330836,0.8616677223762091,"[-0.4065836315707852, -0.4734700424593676, -0.7281585921475373, -0.5298514095317144, -0.5530203286487366]",0.10759780877424836,"{'n_estimators': 80, 'max_depth': 10, 'learning_rate': 0.0749883856323417, 'subsample': 0.8616677223762091, 'colsample_bytree': 0.6061470949312417, 'colsample_bylevel': 0.6154900799844732, 'reg_alpha': 4.3444691085504035, 'reg_lambda': 6.099006535330836, 'min_child_weight': 10, 'gamma': 0.044223173270844955, 'random_state': 42}",COMPLETE
