number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,-0.5034206970118165,2025-07-20 21:11:00.137874,2025-07-20 21:11:00.848704,0 days 00:00:00.710830,0.662397808134481,0.6624074561769746,0.023585940584142682,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469893,0.8394633936788146,"[-0.4147821372883872, -0.45317699957443486, -0.6549852775760954, -0.3662514328495832, -0.6279076377705818]",0.1163318107259865,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469893, 'min_child_weight': 7, 'gamma': 0.023585940584142682, 'random_state': 42}",COMPLETE
1,-0.42439936489219443,2025-07-20 21:11:00.849707,2025-07-20 21:11:01.446268,0 days 00:00:00.596561,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.16967533607196555,10,5,50,5.472429642032198e-06,0.00052821153945323,0.6849356442713105,"[-0.35321520814196755, -0.3753722187552356, -0.40717339171924166, -0.31119618148232037, -0.675039824362207]",0.12915353656776069,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.16967533607196555, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032198e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,-0.50381054418176,2025-07-20 21:11:01.447268,2025-07-20 21:11:02.314886,0 days 00:00:00.867618,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174767,"[-0.43227099705158684, -0.4349704181923318, -0.6677471462011055, -0.3330472175333143, -0.6510169419304614]",0.132334361749073,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174767, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,-0.6185000108867673,2025-07-20 21:11:02.315886,2025-07-20 21:11:03.151631,0 days 00:00:00.835745,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[-0.5603565222500031, -0.5012725351526188, -0.8779725893836411, -0.4067296918782831, -0.7461687157692903]",0.17064286187766903,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,-0.6988346019460676,2025-07-20 21:11:03.152631,2025-07-20 21:11:03.798723,0 days 00:00:00.646092,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[-0.6419991233224579, -0.5645604924613329, -0.9253435124740286, -0.4392189097714939, -0.9230509717010245]",0.19505864899882377,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,-0.2457100507940832,2025-07-20 21:11:03.799723,2025-07-20 21:11:04.970288,0 days 00:00:01.170565,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.24420460844911424,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[-0.2409923843072189, -0.2427006567018945, -0.33409779843257925, -0.2320242350700341, -0.17873517945868939]",0.05003327233934441,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.24420460844911424, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,-0.553667354038209,2025-07-20 21:11:04.971291,2025-07-20 21:11:05.643899,0 days 00:00:00.672608,0.8170784332632994,0.7123738038749523,7.620481786158549,0.16755052359850303,3,1,90,1.8548894229694903e-07,0.16587190283399655,0.7427013306774357,"[-0.39712588097372065, -0.581048089026613, -0.6192254990521083, -0.4199755702468992, -0.750961730891704]",0.1314164160268266,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850303, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399655, 'min_child_weight': 1, 'gamma': 7.620481786158549, 'random_state': 42}",COMPLETE
7,-0.47365300973847396,2025-07-20 21:11:05.644899,2025-07-20 21:11:06.698892,0 days 00:00:01.053993,0.8916028672163949,0.8827429375390468,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626986,4.638759594322625e-08,0.9261845713819337,"[-0.4535784884949608, -0.4395595084854358, -0.5616366817120405, -0.3041619246902944, -0.6093284453096384]",0.10624644134561285,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390468, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626986, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,-0.6160527866654182,2025-07-20 21:11:06.699892,2025-07-20 21:11:07.580460,0 days 00:00:00.880568,0.7300733288106989,0.7243929286862649,0.0001778010520878397,0.030816017044468066,7,9,140,0.036851536911881845,0.005470376807480391,0.6254233401144095,"[-0.5273850358007615, -0.545127154613646, -0.7876394311525323, -0.48787756900521523, -0.7322347427549356]",0.12021774015070691,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862649, 'colsample_bylevel': 0.7300733288106989, 'reg_alpha': 0.036851536911881845, 'reg_lambda': 0.005470376807480391, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,-0.2689959454799246,2025-07-20 21:11:07.581496,2025-07-20 21:11:16.410337,0 days 00:00:08.828841,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[-0.189541392961109, -0.3571553419341511, -0.34009037333239805, -0.24189667308358773, -0.21629594608837738]",0.06730703272480404,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
