number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,-0.7148607667774737,2025-07-20 19:21:28.943818,2025-07-20 19:21:29.711997,0 days 00:00:00.768179,0.662397808134481,0.6624074561769746,0.023585940584142682,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469893,0.8394633936788146,"[-0.5247146773880815, -0.8415371140371931, -0.6111472997581037, -0.6761055262186649, -0.9207992164853256]",0.1461995412066442,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469893, 'min_child_weight': 7, 'gamma': 0.023585940584142682, 'random_state': 42}",COMPLETE
1,-0.6737994557303425,2025-07-20 19:21:29.713565,2025-07-20 19:21:30.311777,0 days 00:00:00.598212,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.16967533607196555,10,5,50,5.472429642032198e-06,0.00052821153945323,0.6849356442713105,"[-0.487335311550372, -0.7319378799099745, -0.5588227705027529, -0.6722287820079449, -0.9186725346806686]",0.14922056385588328,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.16967533607196555, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032198e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,-0.6937573076481944,2025-07-20 19:21:30.313777,2025-07-20 19:21:31.203628,0 days 00:00:00.889851,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174767,"[-0.5014327712493146, -0.8183827151027855, -0.5841483680467333, -0.7147861362793567, -0.850036547562782]",0.13371593142681515,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174767, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,-0.735443745956174,2025-07-20 19:21:31.204628,2025-07-20 19:21:32.110410,0 days 00:00:00.905782,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[-0.553454810292947, -0.884809459618031, -0.5870786781104177, -0.7930925651277598, -0.8587832166317145]",0.13854839866041516,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,-0.7676822187985314,2025-07-20 19:21:32.112410,2025-07-20 19:21:32.811784,0 days 00:00:00.699374,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[-0.5892641803893812, -0.9398327650747778, -0.5913356005234199, -0.8524537092830238, -0.8655248387220542]",0.1478690776751571,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,-0.6311393040392435,2025-07-20 19:21:32.812784,2025-07-20 19:21:34.060602,0 days 00:00:01.247818,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.24420460844911424,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[-0.6022710708700273, -0.8997947411545227, -0.5182700150704079, -0.5132327037995204, -0.6221279893017388]",0.14123155833143863,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.24420460844911424, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,-0.7000231815816471,2025-07-20 19:21:34.061663,2025-07-20 19:21:34.705121,0 days 00:00:00.643458,0.8170784332632994,0.7123738038749523,7.620481786158549,0.16755052359850303,3,1,90,1.8548894229694903e-07,0.16587190283399655,0.7427013306774357,"[-0.47454815853732146, -0.9496647087086593, -0.4741796737002234, -0.7798375294902447, -0.8218858374717872]",0.19255441057945463,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850303, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399655, 'min_child_weight': 1, 'gamma': 7.620481786158549, 'random_state': 42}",COMPLETE
7,-0.6597737457097237,2025-07-20 19:21:34.706124,2025-07-20 19:21:35.904524,0 days 00:00:01.198400,0.8916028672163949,0.8827429375390468,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626986,4.638759594322625e-08,0.9261845713819337,"[-0.47185671791440653, -0.8546776254822169, -0.44477787489610604, -0.7267429859736088, -0.8008135242822807]",0.16964707744846072,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390468, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626986, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,-0.7592360716383753,2025-07-20 19:21:35.905529,2025-07-20 19:21:39.400386,0 days 00:00:03.494857,0.7300733288106989,0.7243929286862649,0.0001778010520878397,0.030816017044468066,7,9,140,0.036851536911881845,0.005470376807480391,0.6254233401144095,"[-0.4964104926011061, -0.8828086210690537, -0.6362847733331972, -0.8675858962173757, -0.9130905749711434]",0.16424090501825367,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862649, 'colsample_bylevel': 0.7300733288106989, 'reg_alpha': 0.036851536911881845, 'reg_lambda': 0.005470376807480391, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,-0.6505880544554585,2025-07-20 19:21:39.402387,2025-07-20 19:21:40.804699,0 days 00:00:01.402312,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[-0.5806159019017557, -0.9702512832292031, -0.4362627871522259, -0.6124188778055235, -0.653391422188584]",0.1757730053702429,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
