number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,-0.5302022339781679,2025-07-20 20:58:33.097151,2025-07-20 20:58:33.811462,0 days 00:00:00.714311,0.662397808134481,0.6624074561769746,0.023585940584142682,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469893,0.8394633936788146,"[-0.4165692145844464, -0.5043696906820414, -0.7770180270823303, -0.3792301262359377, -0.5738241113060837]",0.1408497530087008,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469893, 'min_child_weight': 7, 'gamma': 0.023585940584142682, 'random_state': 42}",COMPLETE
1,-0.4442581490674623,2025-07-20 20:58:33.812463,2025-07-20 20:58:34.390381,0 days 00:00:00.577918,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.16967533607196555,10,5,50,5.472429642032198e-06,0.00052821153945323,0.6849356442713105,"[-0.3227754014719171, -0.4954913345745616, -0.4923318278437705, -0.27014667439187273, -0.6405455070551895]",0.1330695369881222,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.16967533607196555, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032198e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,-0.539504477434195,2025-07-20 20:58:34.391380,2025-07-20 20:58:35.217156,0 days 00:00:00.825776,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174767,"[-0.433720584733099, -0.5207056846872447, -0.7722882075136095, -0.3481270323137995, -0.6226808779232226]",0.14783472640252465,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174767, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,-0.6551763582150897,2025-07-20 20:58:35.218156,2025-07-20 20:58:36.063147,0 days 00:00:00.844991,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[-0.5775451693338138, -0.617057358005826, -0.9704280254755243, -0.4047755174529777, -0.7060757208073065]",0.18555570567418533,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,-0.7005599113285483,2025-07-20 20:58:36.064146,2025-07-20 20:58:36.743471,0 days 00:00:00.679325,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[-0.5960452901361731, -0.7052393169629778, -0.9737298262121737, -0.4172293602540126, -0.8105557630774044]",0.1886490359645449,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,-0.3146747763927727,2025-07-20 20:58:36.744471,2025-07-20 20:58:37.922752,0 days 00:00:01.178281,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.24420460844911424,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[-0.3175010284224993, -0.33720684627881775, -0.3946054021548703, -0.3120175646842188, -0.2120430404234571]",0.05906762363722624,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.24420460844911424, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,-0.5614832420599023,2025-07-20 20:58:37.923786,2025-07-20 20:58:38.639415,0 days 00:00:00.715629,0.8170784332632994,0.7123738038749523,7.620481786158549,0.16755052359850303,3,1,90,1.8548894229694903e-07,0.16587190283399655,0.7427013306774357,"[-0.4422199969378306, -0.6850157265022873, -0.691807635508045, -0.38051253022656406, -0.6078603211247847]",0.12756933478014007,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850303, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399655, 'min_child_weight': 1, 'gamma': 7.620481786158549, 'random_state': 42}",COMPLETE
7,-0.49462521219346883,2025-07-20 20:58:38.640415,2025-07-20 20:58:39.736135,0 days 00:00:01.095720,0.8916028672163949,0.8827429375390468,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626986,4.638759594322625e-08,0.9261845713819337,"[-0.4464748968447863, -0.5374248688258028, -0.6393697629668232, -0.3095269639235959, -0.5403295684063361]",0.11086162378750512,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390468, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626986, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,-0.6567301459442927,2025-07-20 20:58:39.737137,2025-07-20 20:58:43.295355,0 days 00:00:03.558218,0.7300733288106989,0.7243929286862649,0.0001778010520878397,0.030816017044468066,7,9,140,0.036851536911881845,0.005470376807480391,0.6254233401144095,"[-0.5614314664486847, -0.6674971238520133, -0.8614446922529564, -0.44639200868131973, -0.7468854384864895]",0.14385820821757814,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862649, 'colsample_bylevel': 0.7300733288106989, 'reg_alpha': 0.036851536911881845, 'reg_lambda': 0.005470376807480391, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,-0.2912576559760039,2025-07-20 20:58:43.297353,2025-07-20 20:58:52.752037,0 days 00:00:09.454684,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[-0.2579234118288914, -0.35062400658663706, -0.40446630883866147, -0.27103221288330026, -0.17224233974252917]",0.0800318043619058,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
10,-0.26794563271044297,2025-07-20 20:58:52.753033,2025-07-20 20:58:59.009199,0 days 00:00:06.256166,0.7570274592606949,0.9568478358759311,0.01036771407033351,0.07955798569352589,5,3,70,0.0009327366933736902,3.9951522674461425e-06,0.8559192772506939,"[-0.2370390637614065, -0.2774195568540436, -0.34836214460675413, -0.1730645584166713, -0.30384283991333944]",0.05967045227339525,"{'n_estimators': 70, 'max_depth': 5, 'learning_rate': 0.07955798569352589, 'subsample': 0.8559192772506939, 'colsample_bytree': 0.9568478358759311, 'colsample_bylevel': 0.7570274592606949, 'reg_alpha': 0.0009327366933736902, 'reg_lambda': 3.9951522674461425e-06, 'min_child_weight': 3, 'gamma': 0.01036771407033351, 'random_state': 42}",COMPLETE
11,-0.26454438426087523,2025-07-20 20:58:59.010202,2025-07-20 20:59:04.974579,0 days 00:00:05.964377,0.757298334171193,0.9586229109175456,0.02419584192691601,0.07578854864284995,5,3,70,0.0010132439259431913,4.491067917060829e-06,0.8562950519589575,"[-0.2505302896136142, -0.26257393679122365, -0.33891028726208333, -0.16742955642665133, -0.30327785121080386]",0.057727179540369544,"{'n_estimators': 70, 'max_depth': 5, 'learning_rate': 0.07578854864284995, 'subsample': 0.8562950519589575, 'colsample_bytree': 0.9586229109175456, 'colsample_bylevel': 0.757298334171193, 'reg_alpha': 0.0010132439259431913, 'reg_lambda': 4.491067917060829e-06, 'min_child_weight': 3, 'gamma': 0.02419584192691601, 'random_state': 42}",COMPLETE
12,-0.28756707971735584,2025-07-20 20:59:04.976489,2025-07-20 20:59:11.262749,0 days 00:00:06.286260,0.7392973228175623,0.9952647403542068,0.054072977351487396,0.0611731627725646,5,3,80,0.0016782877393559201,1.2167282577786447e-05,0.8888336114830357,"[-0.2769627927856712, -0.27182000527387457, -0.32053842210877065, -0.2558070360606788, -0.31270714235778413]",0.024852580536389522,"{'n_estimators': 80, 'max_depth': 5, 'learning_rate': 0.0611731627725646, 'subsample': 0.8888336114830357, 'colsample_bytree': 0.9952647403542068, 'colsample_bylevel': 0.7392973228175623, 'reg_alpha': 0.0016782877393559201, 'reg_lambda': 1.2167282577786447e-05, 'min_child_weight': 3, 'gamma': 0.054072977351487396, 'random_state': 42}",COMPLETE
