number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_scores,user_attrs_cv_std,user_attrs_params,state
0,-0.48141756840993616,2025-07-20 20:28:52.720288,2025-07-20 20:28:53.469182,0 days 00:00:00.748894,0.662397808134481,0.6624074561769746,0.023585940584142682,0.1205712628744377,10,7,90,3.3323645788192616e-08,0.6245760287469893,0.8394633936788146,"[-0.39041477950396164, -0.5884629096127418, -0.5549963811280044, -0.5738793333422314, -0.2993344384627415]",0.11563520098019721,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': 0.1205712628744377, 'subsample': 0.8394633936788146, 'colsample_bytree': 0.6624074561769746, 'colsample_bylevel': 0.662397808134481, 'reg_alpha': 3.3323645788192616e-08, 'reg_lambda': 0.6245760287469893, 'min_child_weight': 7, 'gamma': 0.023585940584142682, 'random_state': 42}",COMPLETE
1,-0.43509269639587506,2025-07-20 20:28:53.470182,2025-07-20 20:28:54.049107,0 days 00:00:00.578925,0.6733618039413735,0.6727299868828402,4.17890272377219e-06,0.16967533607196555,10,5,50,5.472429642032198e-06,0.00052821153945323,0.6849356442713105,"[-0.4064152422467499, -0.5527702974722938, -0.4304755152336932, -0.45298564411533054, -0.3328167829113079]",0.0713754195653576,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.16967533607196555, 'subsample': 0.6849356442713105, 'colsample_bytree': 0.6727299868828402, 'colsample_bylevel': 0.6733618039413735, 'reg_alpha': 5.472429642032198e-06, 'reg_lambda': 0.00052821153945323, 'min_child_weight': 5, 'gamma': 4.17890272377219e-06, 'random_state': 42}",COMPLETE
2,-0.4928455934805136,2025-07-20 20:28:54.050105,2025-07-20 20:28:54.966776,0 days 00:00:00.916671,0.9140703845572055,0.7824279936868144,2.6185068507773707e-08,0.027010527749605478,2,6,110,6.267062696005991e-07,0.00042472707398058225,0.7465447373174767,"[-0.4149582342887061, -0.5490726752435412, -0.5754226219623273, -0.5833870971005332, -0.34138733880746025]",0.0971434587244325,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.027010527749605478, 'subsample': 0.7465447373174767, 'colsample_bytree': 0.7824279936868144, 'colsample_bylevel': 0.9140703845572055, 'reg_alpha': 6.267062696005991e-07, 'reg_lambda': 0.00042472707398058225, 'min_child_weight': 6, 'gamma': 2.6185068507773707e-08, 'random_state': 42}",COMPLETE
3,-0.6048798409290116,2025-07-20 20:28:54.967777,2025-07-20 20:28:55.902315,0 days 00:00:00.934538,0.9233589392465844,0.9862528132298237,9.148975058772307e-05,0.012476394272569451,2,7,110,5.514725787121931e-06,7.569183361880229e-08,0.9795542149013333,"[-0.511172566991191, -0.6715349651057532, -0.7540254030647499, -0.6707956736337315, -0.4168705958496325]",0.1226056529766345,"{'n_estimators': 110, 'max_depth': 2, 'learning_rate': 0.012476394272569451, 'subsample': 0.9795542149013333, 'colsample_bytree': 0.9862528132298237, 'colsample_bylevel': 0.9233589392465844, 'reg_alpha': 5.514725787121931e-06, 'reg_lambda': 7.569183361880229e-08, 'min_child_weight': 7, 'gamma': 9.148975058772307e-05, 'random_state': 42}",COMPLETE
4,-0.7378546993682747,2025-07-20 20:28:55.904315,2025-07-20 20:28:56.637234,0 days 00:00:00.732919,0.8650089137415928,0.7035119926400067,4.609885087947832e-07,0.011240768803005551,5,6,60,6.388511557344611e-06,0.0004793052550782129,0.9637281608315128,"[-0.6630409845116056, -0.7252991437773733, -0.868636164770993, -0.7717344620626341, -0.6605627417187684]",0.0774343730358202,"{'n_estimators': 60, 'max_depth': 5, 'learning_rate': 0.011240768803005551, 'subsample': 0.9637281608315128, 'colsample_bytree': 0.7035119926400067, 'colsample_bylevel': 0.8650089137415928, 'reg_alpha': 6.388511557344611e-06, 'reg_lambda': 0.0004793052550782129, 'min_child_weight': 6, 'gamma': 4.609885087947832e-07, 'random_state': 42}",COMPLETE
5,-0.27702913959429776,2025-07-20 20:28:56.638235,2025-07-20 20:28:57.917269,0 days 00:00:01.279034,0.9687496940092467,0.8391599915244341,8.471746987003668e-06,0.24420460844911424,8,1,150,6.257956190096665e-08,5.805581976088804e-07,0.9579309401710595,"[-0.2394057286275653, -0.36853819025469065, -0.3114268936222823, -0.24708671566045828, -0.2186881698064922]",0.05526816514870586,"{'n_estimators': 150, 'max_depth': 8, 'learning_rate': 0.24420460844911424, 'subsample': 0.9579309401710595, 'colsample_bytree': 0.8391599915244341, 'colsample_bylevel': 0.9687496940092467, 'reg_alpha': 6.257956190096665e-08, 'reg_lambda': 5.805581976088804e-07, 'min_child_weight': 1, 'gamma': 8.471746987003668e-06, 'random_state': 42}",COMPLETE
6,-0.5677761321733791,2025-07-20 20:28:57.919269,2025-07-20 20:28:58.592670,0 days 00:00:00.673401,0.8170784332632994,0.7123738038749523,7.620481786158549,0.16755052359850303,3,1,90,1.8548894229694903e-07,0.16587190283399655,0.7427013306774357,"[-0.5181089041126993, -0.6012300369276162, -0.653022615062909, -0.5981531408976685, -0.46836596386600265]",0.06581505048772436,"{'n_estimators': 90, 'max_depth': 3, 'learning_rate': 0.16755052359850303, 'subsample': 0.7427013306774357, 'colsample_bytree': 0.7123738038749523, 'colsample_bylevel': 0.8170784332632994, 'reg_alpha': 1.8548894229694903e-07, 'reg_lambda': 0.16587190283399655, 'min_child_weight': 1, 'gamma': 7.620481786158549, 'random_state': 42}",COMPLETE
7,-0.516096997112103,2025-07-20 20:28:58.594670,2025-07-20 20:28:59.694085,0 days 00:00:01.099415,0.8916028672163949,0.8827429375390468,1.1036250149900698e-07,0.010189592979395137,2,4,130,0.08738424135626986,4.638759594322625e-08,0.9261845713819337,"[-0.49003895008587023, -0.5694449854120276, -0.5982662689888915, -0.5357769788604151, -0.3869578022133105]",0.0739473491775791,"{'n_estimators': 130, 'max_depth': 2, 'learning_rate': 0.010189592979395137, 'subsample': 0.9261845713819337, 'colsample_bytree': 0.8827429375390468, 'colsample_bylevel': 0.8916028672163949, 'reg_alpha': 0.08738424135626986, 'reg_lambda': 4.638759594322625e-08, 'min_child_weight': 4, 'gamma': 1.1036250149900698e-07, 'random_state': 42}",COMPLETE
8,-0.6084746669606537,2025-07-20 20:28:59.695183,2025-07-20 20:29:00.693687,0 days 00:00:00.998504,0.7300733288106989,0.7243929286862649,0.0001778010520878397,0.030816017044468066,7,9,140,0.036851536911881845,0.005470376807480391,0.6254233401144095,"[-0.5133579414060642, -0.6567093243283353, -0.7022827561850978, -0.6582228471886288, -0.511800465695142]",0.07999314205838619,"{'n_estimators': 140, 'max_depth': 7, 'learning_rate': 0.030816017044468066, 'subsample': 0.6254233401144095, 'colsample_bytree': 0.7243929286862649, 'colsample_bylevel': 0.7300733288106989, 'reg_alpha': 0.036851536911881845, 'reg_lambda': 0.005470376807480391, 'min_child_weight': 9, 'gamma': 0.0001778010520878397, 'random_state': 42}",COMPLETE
9,-0.29731835506574933,2025-07-20 20:29:00.694686,2025-07-20 20:29:02.766809,0 days 00:00:02.072123,0.7975182385457563,0.9083868719818244,9.354548757337708e-08,0.13297554090738672,8,1,60,0.0005065186776865479,7.04480806377519e-05,0.8245108790277985,"[-0.31834793810975826, -0.30320106968422444, -0.34279398289116947, -0.3078981606708142, -0.21435062397278043]",0.04368171038262943,"{'n_estimators': 60, 'max_depth': 8, 'learning_rate': 0.13297554090738672, 'subsample': 0.8245108790277985, 'colsample_bytree': 0.9083868719818244, 'colsample_bylevel': 0.7975182385457563, 'reg_alpha': 0.0005065186776865479, 'reg_lambda': 7.04480806377519e-05, 'min_child_weight': 1, 'gamma': 9.354548757337708e-08, 'random_state': 42}",COMPLETE
